"","Kingdom","phyla","class","family","genus","species","unique"
"Actibacter","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Actibacter","Actibacter"
"Aequorivita","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aequorivita","Aequorivita"
"Algibacter","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Algibacter","Algibacter"
"Aquibacter","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aquibacter","Aquibacter"
"Aquimarina","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aquimarina","Aquimarina"
"Aureitalea","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aureitalea","Aureitalea"
"Cellulophaga","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Cellulophaga","Cellulophaga"
"Chishuiella","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Chishuiella","Chishuiella"
"Croceibacter","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Croceibacter","Croceibacter"
"Croceitalea","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Croceitalea","Croceitalea"
"Dokdonia","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Dokdonia","Dokdonia"
"Eudoraea","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Eudoraea","Eudoraea"
"Flagellimonas","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flagellimonas","Flagellimonas"
"Flavicella","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavicella","Flavicella"
"Flavimarina","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavimarina","Flavimarina"
"Flavirhabdus","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavirhabdus","Flavirhabdus"
"Flavivirga","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavivirga","Flavivirga"
"Flavobacterium","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium"
"Formosa","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Formosa","Formosa"
"Fulvibacter","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Fulvibacter","Fulvibacter"
"Gaetbulimicrobium","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Gaetbulimicrobium","Gaetbulimicrobium"
"Galbibacter","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Galbibacter","Galbibacter"
"Gilvibacter","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Gilvibacter","Gilvibacter"
"Gramella","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Gramella","Gramella"
"Hanstruepera","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Hanstruepera","Hanstruepera"
"Hyunsoonleella","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Hyunsoonleella","Hyunsoonleella"
"Joostella","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Joostella","Joostella"
"Kordia","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Kordia","Kordia"
"Lacinutrix","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Lacinutrix","Lacinutrix"
"Leptobacterium","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Leptobacterium","Leptobacterium"
"Lutaonella","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Lutaonella","Lutaonella"
"Lutibacter","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Lutibacter","Lutibacter"
"Lutimonas","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Lutimonas","Lutimonas"
"Maribacter","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Maribacter","Maribacter"
"Maritimimonas","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Maritimimonas","Maritimimonas"
"Marixanthomonas","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Marixanthomonas","Marixanthomonas"
"Meridianimaribacter","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Meridianimaribacter","Meridianimaribacter"
"Moheibacter","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Moheibacter","Moheibacter"
"Muricauda","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Muricauda","Muricauda"
"Muriicola","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Muriicola","Muriicola"
"Namhaeicola","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Namhaeicola","Namhaeicola"
"Nonlabens","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Nonlabens","Nonlabens"
"Olleya","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Olleya","Olleya"
"Polaribacter","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter","Polaribacter"
"Pseudofulvibacter","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Pseudofulvibacter","Pseudofulvibacter"
"Psychroflexus","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Psychroflexus","Psychroflexus"
"Robiginitalea","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Robiginitalea","Robiginitalea"
"Seonamhaeicola","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Seonamhaeicola","Seonamhaeicola"
"Siansivirga","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Siansivirga","Siansivirga"
"Soonwooa","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Soonwooa","Soonwooa"
"Spongiibacterium","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Spongiibacterium","Spongiibacterium"
"Spongiimonas","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Spongiimonas","Spongiimonas"
"Spongiivirga","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Spongiivirga","Spongiivirga"
"Tamlana","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Tamlana","Tamlana"
"Tenacibaculum","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum","Tenacibaculum"
"Ulvibacter","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Ulvibacter","Ulvibacter"
"Wenyingzhuangia","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Wenyingzhuangia","Wenyingzhuangia"
"Winogradskyella","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Winogradskyella","Winogradskyella"
"Yeosuana","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Yeosuana","Yeosuana"
"Zeaxanthinibacter","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Zeaxanthinibacter","Zeaxanthinibacter"
"Asinibacterium","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Asinibacterium","Asinibacterium"
"Balneola","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Balneola","Balneola"
"Cnuella","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Cnuella","Cnuella"
"Ferruginibacter","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Ferruginibacter","Ferruginibacter"
"Gracilimonas","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Gracilimonas","Gracilimonas"
"Hydrobacter","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Hydrobacter","Hydrobacter"
"Parafilimonas","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Parafilimonas","Parafilimonas"
"Taibaiella","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Taibaiella","Taibaiella"
"Terrimonas","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Terrimonas","Terrimonas"
"Thermoflavifilum","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Thermoflavifilum","Thermoflavifilum"
"Rubricoccus","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Rhodothermaceae","Rubricoccus","Rubricoccus"
"Rubrivirga","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Rhodothermaceae","Rubrivirga","Rubrivirga"
"Salinibacter","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Rhodothermaceae","Salinibacter","Salinibacter"
"Salisaeta","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Rhodothermaceae","Salisaeta","Salisaeta"
"Haliscomenobacter","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","Haliscomenobacter","Haliscomenobacter"
"Lewinella","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","Lewinella","Lewinella"
"Phaeodactylibacter","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","Phaeodactylibacter","Phaeodactylibacter"
"Portibacter","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","Portibacter","Portibacter"
"Solitalea","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Solitalea","Solitalea"
"BRC1_genera_incertae_sedis","Bacteria","BRC1","BRC1_genera_incertae_sedis","BRC1_genera_incertae_sedis","BRC1_genera_incertae_sedis","BRC1_genera_incertae_sedis","BRC1_genera_incertae_sedis"
"WPS-2_genera_incertae_sedis","Bacteria","candidate division WPS-2","WPS-2_genera_incertae_sedis","WPS-2_genera_incertae_sedis","WPS-2_genera_incertae_sedis","WPS-2_genera_incertae_sedis","WPS-2_genera_incertae_sedis"
"ZB3_genera_incertae_sedis","Bacteria","candidate division ZB3","ZB3_genera_incertae_sedis","ZB3_genera_incertae_sedis","ZB3_genera_incertae_sedis","ZB3_genera_incertae_sedis","ZB3_genera_incertae_sedis"
"Candidatus Calescibacterium","Bacteria","Candidatus Calescamantes","Candidatus Calescibacterium","Candidatus Calescibacterium","Candidatus Calescibacterium","Candidatus Calescibacterium","Candidatus Calescibacterium"
"Neochlamydia","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Parachlamydiaceae","Neochlamydia","Neochlamydia"
"Parachlamydia","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Parachlamydiaceae","Parachlamydia","Parachlamydia"
"Simkania","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Simkaniaceae","Simkania","Simkania"
"Bellilinea","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Bellilinea","Bellilinea"
"Leptolinea","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Leptolinea","Leptolinea"
"Levilinea","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Levilinea","Levilinea"
"Longilinea","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Longilinea","Longilinea"
"Ornatilinea","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Ornatilinea","Ornatilinea"
"Thermomarinilinea","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Thermomarinilinea","Thermomarinilinea"
"Ardenticatena","Bacteria","Chloroflexi","Ardenticatenia","Ardenticatenales","Ardenticatenaceae","Ardenticatena","Ardenticatena"
"Litorilinea","Bacteria","Chloroflexi","Caldilineae","Caldilineales","Caldilineaceae","Litorilinea","Litorilinea"
"Denitrovibrio","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae","Denitrovibrio","Denitrovibrio"
"Caldithrix","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacterales_incertae_sedis","Caldithrix","Caldithrix"
"Deinococcus","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus"
"Elusimicrobium","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","Elusimicrobiaceae","Elusimicrobium","Elusimicrobium"
"Tumebacillus","Bacteria","Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae","Tumebacillus","Tumebacillus"
"Anoxybacillus","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae 1","Anoxybacillus","Anoxybacillus"
"Bacillus","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae 1","Bacillus","Bacillus"
"Exiguobacterium","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_Incertae Sedis XII","Exiguobacterium","Exiguobacterium"
"Staphylococcus","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus"
"Enterococcus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus"
"Streptococcus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus"
"Catabacter","Bacteria","Firmicutes","Clostridia","Clostridiales","Catabacteriaceae","Catabacter","Catabacter"
"Christensenella","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenella","Christensenella"
"Fonticella","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae 1","Fonticella","Fonticella"
"Clostridiisalibacter","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae 3","Clostridiisalibacter","Clostridiisalibacter"
"Anaerococcus","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae Sedis XI","Anaerococcus","Anaerococcus"
"Gracilibacter","Bacteria","Firmicutes","Clostridia","Clostridiales","Gracilibacteraceae","Gracilibacter","Gracilibacter"
"Parasporobacterium","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Parasporobacterium","Parasporobacterium"
"Asaccharospora","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Asaccharospora","Asaccharospora"
"Syntrophothermus","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","Syntrophothermus","Syntrophothermus"
"Halothermothrix","Bacteria","Firmicutes","Clostridia","Halanaerobiales","Halanaerobiaceae","Halothermothrix","Halothermothrix"
"Halanaerobaculum","Bacteria","Firmicutes","Clostridia","Halanaerobiales","Halobacteroidaceae","Halanaerobaculum","Halanaerobaculum"
"Dethiobacter","Bacteria","Firmicutes","Clostridia","Natranaerobiales","Natranaerobiaceae","Dethiobacter","Dethiobacter"
"Natranaerobaculum","Bacteria","Firmicutes","Clostridia","Natranaerobiales","Natranaerobiaceae","Natranaerobaculum","Natranaerobaculum"
"Calderihabitans","Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Calderihabitans","Calderihabitans"
"Allobaculum","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Allobaculum","Allobaculum"
"Holdemania","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemania","Holdemania"
"Succinispira","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Succinispira","Succinispira"
"Dialister","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Dialister","Dialister"
"Negativicoccus","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Negativicoccus","Negativicoccus"
"Schwartzia","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Schwartzia","Schwartzia"
"Propionigenium","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Propionigenium","Propionigenium"
"Gemmatimonas","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas"
"Candidatus Hydrogenedens","Bacteria","Hydrogenedentes","Candidatus Hydrogenedens","Candidatus Hydrogenedens","Candidatus Hydrogenedens","Candidatus Hydrogenedens","Candidatus Hydrogenedens"
